"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene"
"ARL6IP5",TRUE
"ARL6IP6",TRUE
"ARL8A",TRUE
"ARL8B",TRUE
"ARL9",TRUE
"ARMC1",TRUE
"ARMC10",TRUE
"ARMC2",TRUE
"ARMC3",TRUE
"ARMC4",TRUE
"ARMC5",TRUE
"ARMC6",TRUE
"ARMC7",TRUE
"ARMC8",TRUE
"ARMC9",TRUE
"ARMCX1",TRUE
"ARMCX2",TRUE
"ARMCX3",TRUE
"ARMCX5",TRUE
"ARMCX6",TRUE
"ARMET",TRUE
"ARMS2",TRUE
"ARNT",TRUE
"ARNT2",TRUE
"ARNTL",TRUE
"ARNTL2",TRUE
"ARPC1A",TRUE
"ARPC1B",TRUE
"ARPC2",TRUE
"ARPC3",TRUE
"ARPC4",TRUE
"ARPC5",TRUE
"ARPC5L",TRUE
"ARPM1",TRUE
"ARPM2",TRUE
"ARPP-21",TRUE
"ARPP19",TRUE
"ARR3",TRUE
"ARRB1",TRUE
"ARRB2",TRUE
"ARRDC1",TRUE
"ARRDC2",TRUE
"ARRDC3",TRUE
"ARRDC4",TRUE
"ARRDC5",TRUE
"ARS2",TRUE
"ARSA",TRUE
"ARSB",TRUE
"ARSD",TRUE
"ARSE",TRUE
"ARSF",TRUE
"ARSG",TRUE
"ARSH",TRUE
"ARSI",TRUE
"ARSJ",TRUE
"ARSK",TRUE
"ART1",TRUE
"ART3",TRUE
"ART4",TRUE
"ART5",TRUE
"ARTN",TRUE
"ARV1",TRUE
"ARVCF",TRUE
"ARVP6125",TRUE
"ARX",TRUE
"AS3MT",TRUE
"ASAH1",TRUE
"ASAH2",TRUE
"ASAH2B",TRUE
"ASAM",TRUE
"ASAP1",TRUE
"ASAP1IT1",TRUE
"ASAP2",TRUE
"ASAP3",TRUE
"ASB1",TRUE
"ASB10",TRUE
"ASB11",TRUE
"ASB12",TRUE
"ASB13",TRUE
"ASB14",TRUE
"ASB15",TRUE
"ASB16",TRUE
"ASB17",TRUE
"ASB18",TRUE
"ASB2",TRUE
"ASB3",TRUE
"ASB4",TRUE
"ASB5",TRUE
